ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
5.0087,3.5865,6.0478,3.0025,4.0308,8.4207,2.0062,-0.4442,-2.373,-1.5828,0.6946,-2.416,20,2021-05-14 13:47:51:107
3.0957,5.5929,18.5479,1.8939,2.9892,9.1459,1.2018,2.6037,9.4019,-0.0641,1.7532,0.1222,521,2021-05-14 13:47:51:608
13.5871,-21.6699,0.7638,9.2328,3.1869,-0.8776,22.8759,-0.5101,20.9578,5.5827,0.3622,-6.2577,1022,2021-05-14 13:47:52:109
31.364,-5.3798,14.5974,8.4778,-1.9642,-4.5211,4.7023,23.7443,25.207,6.3249,2.2345,-6.0225,1521,2021-05-14 13:47:52:608
-2.3296,22.6611,21.16,8.3773,-2.7779,-4.2748,1.3718,25.8676,28.1546,0.1894,4.0128,-1.6066,2021,2021-05-14 13:47:53:108
32.1086,2.2122,19.5319,4.5465,-7.7789,3.8714,27.5622,9.9912,15.6605,-0.2401,-5.0836,-0.1723,2521,2021-05-14 13:47:53:608
4.7238,-18.4066,22.2062,5.0955,-7.582,3.5664,16.2475,10.7851,15.9271,-1.2828,-3.292,-2.3366,3021,2021-05-14 13:47:54:108
-9.0573,-16.5631,-1.8627,6.3545,-6.5427,3.6031,5.1014,4.7744,-6.9551,-3.9633,3.0183,-2.1912,3521,2021-05-14 13:47:54:608
10.5752,-12.1362,-12.5289,8.6552,-4.0042,2.2856,-1.6983,-6.3141,5.0587,1.1826,-2.1502,3.1374,4021,2021-05-14 13:47:55:108
6.1076,-11.8968,-8.1499,9.1505,1.0576,3.3645,12.7353,-25.0265,7.7774,2.2119,2.2907,2.1185,4521,2021-05-14 13:47:55:608
22.6324,-33.9881,8.7317,9.4638,2.5659,0.1523,14.6034,-9.2512,15.4922,4.934,-0.2553,-4.521,5021,2021-05-14 13:47:56:108
18.3803,7.2784,15.0643,9.2717,-2.0979,-2.4095,3.9307,22.2235,28.292,2.3011,-3.4282,-4.7965,5521,2021-05-14 13:47:56:608
-4.3814,27.3657,24.7225,9.0827,1.7353,3.2655,-14.8247,23.6529,24.8116,2.6676,4.6297,-2.5375,6020,2021-05-14 13:47:57:107
-14.3149,-2.1907,11.0971,6.1794,5.6537,5.1011,-10.5039,-3.1767,8.1853,-1.6286,-2.7672,-4.3616,6521,2021-05-14 13:47:57:608
15.5384,5.2313,16.8791,4.7346,5.9284,6.2135,10.8491,-0.2576,10.2419,-1.0831,-3.5888,-3.3769,7021,2021-05-14 13:47:58:108
12.7252,8.7197,3.6416,-5.0209,4.8129,6.9135,18.1318,3.665,-2.7918,-2.2052,-1.4752,-0.1051,7521,2021-05-14 13:47:58:608
-5.047,11.4132,15.263,-8.5805,-3.6931,-2.9843,5.084,23.2046,9.9401,-2.3439,2.595,-2.3604,8021,2021-05-14 13:47:59:108
-32.6354,1.7071,-12.5528,-7.8249,-4.8865,-3.3262,-27.6929,3.4724,-9.0913,-3.7764,-0.1234,-2.5436,8523,2021-05-14 13:47:59:610
-10.9726,-21.7417,0.5531,-9.2657,0.7945,-3.1123,-1.7914,-23.3397,3.6062,-2.7678,-2.179,-5.8753,9021,2021-05-14 13:48:00:108
-7.082,-15.1792,-1.6305,-5.2396,7.8141,-2.7672,-0.3771,-29.4891,10.5329,3.6065,-1.3903,5.1698,9521,2021-05-14 13:48:00:608
-16.5894,5.1571,6.699,-8.5938,1.9366,-4.3089,-25.617,-6.9788,-0.5896,7.0469,-3.9266,0.2456,10021,2021-05-14 13:48:01:108
5.0542,20.9229,7.118,-5.9955,-0.1576,-7.7588,4.5518,21.9209,20.1344,-1.6579,0.9053,0.9572,10520,2021-05-14 13:48:01:607
-1.2617,15.0452,5.0063,-6.0074,-0.7633,-7.7136,4.1303,12.4782,11.3863,-2.901,-0.0012,-1.419,11021,2021-05-14 13:48:02:108
-35.7526,-14.1976,-5.4013,-8.3743,-0.3359,-5.092,-27.2107,23.2987,-1.9973,-0.5076,1.8882,-6.2827,11520,2021-05-14 13:48:02:607
-22.7401,-14.0611,1.4341,-3.7425,5.6925,-7.0541,14.2507,-26.5747,-0.1525,1.5583,-3.7458,3.4532,12021,2021-05-14 13:48:03:108
-55.919,23.6332,16.1872,-5.7587,6.6201,-4.3798,-18.4419,-12.7516,-4.7302,2.1032,-3.8949,4.4905,12520,2021-05-14 13:48:03:607
10.7955,16.1417,19.5247,-6.3844,1.662,-7.2559,-12.9775,13.7926,19.926,-1.0953,-3.8833,3.1325,13021,2021-05-14 13:48:04:108
8.3031,4.1875,6.2297,-6.7123,-0.2636,-7.1447,15.0154,4.451,13.3744,-3.5155,2.3366,0.1955,13521,2021-05-14 13:48:04:608
-22.2134,8.2265,-14.2407,-7.695,-2.0094,-5.7376,-14.6094,10.0228,-12.7528,-1.9963,0.6219,-0.7446,14021,2021-05-14 13:48:05:108
0.17,-3.972,-3.9289,-9.2278,1.1795,-3.1028,-4.5462,-6.7521,0.9163,-2.1838,0.8186,-0.1973,14521,2021-05-14 13:48:05:608
-31.874,-2.9042,-0.7901,-9.7157,0.6519,-1.1623,10.531,-5.1087,-6.0532,3.689,-0.8082,0.1607,15021,2021-05-14 13:48:06:108
-23.1424,5.2241,-3.2657,-9.0422,3.5063,-1.4545,-13.9613,2.2263,-1.5651,1.2052,-0.9969,0.5565,15521,2021-05-14 13:48:06:608
0.9074,8.825,5.3606,-9.6179,1.8055,0.6371,13.0292,3.3296,2.9589,1.0421,1.1906,0.4355,16021,2021-05-14 13:48:07:108
-5.2816,4.039,4.4005,-9.3665,2.5812,1.3331,-10.0195,-3.1681,8.0988,-1.7465,0.4184,2.138,16521,2021-05-14 13:48:07:608
-10.477,-4.5705,8.5688,-7.9765,1.6517,5.4606,-5.1688,-3.6654,9.9115,-3.0696,-0.9175,1.3054,17021,2021-05-14 13:48:08:108
-2.0063,3.7804,6.4811,-8.0954,0.812,5.475,5.5656,-2.8367,-3.6198,2.2205,0.1032,-0.9389,17521,2021-05-14 13:48:08:608
0.4836,-3.0215,3.7589,-7.56,6.0227,1.6561,9.8153,-6.1105,-3.403,1.2639,-1.9334,-0.4392,18021,2021-05-14 13:48:09:108
-9.3877,15.4905,-3.7804,-6.8192,7.0476,-0.0244,-2.5951,8.4192,-3.9475,-0.1478,2.1319,-0.1637,18521,2021-05-14 13:48:09:608
-5.2768,7.0078,-3.7134,-4.2976,8.7866,-0.7054,4.9793,5.1153,3.274,1.5333,0.7196,-1.4337,19021,2021-05-14 13:48:10:108
-7.2496,7.8482,4.5897,-6.454,6.6252,-3.2591,-23.1213,-10.0521,4.6112,-1.9297,2.8888,0.1142,19521,2021-05-14 13:48:10:608
0.2227,6.8163,-8.5808,-5.7828,7.858,-0.9908,13.0061,6.5455,-18.7063,-2.7281,-0.4869,2.6011,20021,2021-05-14 13:48:11:108
-32.9682,20.9253,0.7733,-6.6486,7.2022,-0.3086,-14.7819,2.128,10.3331,-1.6921,1.8931,-0.0195,20521,2021-05-14 13:48:11:608
1.408,1.355,1.247,-8.554,4.345,-2.029,13.151,34.376,-1.881,-0.065,-0.85,0.533,21021,2021-05-14 13:48:12:108
-2.502,-4.195,-0.539,-9.035,2.454,-2.919,20.422,-1.036,19.619,-1.478,2.38,-3.421,21521,2021-05-14 13:48:12:608
-17.973,18.371,-7.81,-4.77,8.506,-1.032,-16.91,24.089,-5.566,4.813,2.956,-1.506,22021,2021-05-14 13:48:13:108
0.642,16.199,1.118,5.386,6.76,4.633,-8.632,-6.229,-22.48,1.665,-3.143,-6.762,22521,2021-05-14 13:48:13:608
-7.4,5.686,4.257,4.876,7.636,3.753,-5.743,43.243,-14.692,0.895,-0.293,-1.207,23021,2021-05-14 13:48:14:108
6.397,-28.261,8.727,-1.219,9.09,-3.473,-4.932,-14.752,-1.998,0.695,-0.288,-0.134,23520,2021-05-14 13:48:14:607
-8.543,-9.948,53.712,3.211,9.12,-1.641,9.239,20.135,-22.206,0.462,-3.161,-1.569,24022,2021-05-14 13:48:15:109
