ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.182,0.0168,9.0908,-0.1554,0.7263,9.7785,0.4256,-0.0683,-0.7762,-0.6872,0.5162,-1.0085,12,2021-05-12 22:04:24:074
-0.7422,2.5211,8.2313,-1.953,0.7603,9.5801,0.9963,1.6111,-1.3771,0.5705,-0.7648,-1.4728,511,2021-05-12 22:04:24:573
-4.3335,6.6535,6.5888,-2.4277,6.8314,6.6037,-1.9058,-0.1779,-0.0149,0.7361,-1.4685,-0.8931,1011,2021-05-12 22:04:25:073
-4.1132,1.7119,1.4246,-8.7826,3.4536,2.6663,4.6694,-1.7417,-1.2417,0.3048,2.386,-0.3616,1511,2021-05-12 22:04:25:573
-3.0406,9.4236,-1.1732,-6.1376,7.5628,-1.1416,1.0895,-6.2743,-11.3483,0.8289,-0.5864,1.9413,2011,2021-05-12 22:04:26:073
-4.3862,10.5967,-0.5339,-3.4767,9.0546,-1.448,-0.2439,-1.0851,2.277,-0.7459,-1.3769,-1.1545,2511,2021-05-12 22:04:26:573
-3.7445,7.8051,-0.4477,-5.3476,8.0296,-1.7604,1.7238,-0.0417,0.608,-0.3012,0.2114,0.0391,3011,2021-05-12 22:04:27:073
-0.4477,10.2999,-2.9688,-1.2809,9.6433,-1.2398,-3.4884,-2.042,-1.2027,-0.1979,-0.1374,0.3164,3511,2021-05-12 22:04:27:573
1.0271,8.6622,-1.4174,-0.3462,9.7852,-0.5484,1.3733,-1.123,-0.869,-0.2388,0.1289,0.2248,4011,2021-05-12 22:04:28:073
-1.549,10.3693,1.1708,-1.3019,9.6823,0.8536,-0.2472,0.687,0.3172,0.1655,0.0379,1.022,4511,2021-05-12 22:04:28:573
0.2514,8.6311,2.6983,0.8163,9.6791,1.3488,-0.8446,-0.9875,1.1326,0.1368,-0.5186,0.3671,5011,2021-05-12 22:04:29:073
3.3854,5.9807,8.8274,5.9697,6.073,4.8634,-2.5178,-0.4669,4.3833,-0.0764,-1.055,0.8473,5511,2021-05-12 22:04:29:573
8.2624,7.4484,3.7852,7.0444,5.7047,3.742,0.7101,-0.9359,2.2162,-0.4062,-0.4814,0.3934,6011,2021-05-12 22:04:30:073
8.5401,5.8275,3.9696,7.2575,5.1036,4.1776,0.3465,1.5499,-0.402,-0.1454,-0.5748,-0.201,6512,2021-05-12 22:04:30:574
13.6733,7.6351,5.3271,6.9945,4.894,4.8266,0.236,-2.5836,-0.316,0.0892,-0.1545,0.0861,7011,2021-05-12 22:04:31:073
9.481,2.3703,6.3686,7.4774,3.1774,5.4921,-0.8934,-1.1149,-1.0391,-0.4423,-0.6188,0.5822,7511,2021-05-12 22:04:31:573
9.979,1.6879,7.027,7.8087,1.9296,5.61,0.6945,0.5293,1.3656,0.2046,0.6506,-0.4233,8011,2021-05-12 22:04:32:073
1.7765,2.9544,3.2848,6.0946,4.0852,6.5067,-2.9223,-0.6065,-2.7909,-0.1289,-0.036,0.0195,8511,2021-05-12 22:04:32:573
