ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.9978,-0.093,9.9769,-0.0637,-0.059,9.8063,0.0414,0.0369,-0.0493,-0.0142,0.1188,0.1613,25,2021-05-19 13:01:16:642
1.9723,-0.259,9.7373,2.1247,-0.2193,9.5712,-1.1142,1.3098,0.8249,0.1834,-1.3967,0.148,525,2021-05-19 13:01:17:142
3.6293,0.1795,10.2416,1.7327,0.8029,9.6189,-4.6272,-2.9686,0.1415,1.5931,0.2912,2.9878,1025,2021-05-19 13:01:17:642
-1.8751,3.1184,7.0481,1.7185,-1.8285,9.4802,-5.1866,5.4438,-0.4876,-1.7052,-1.233,0.2165,1525,2021-05-19 13:01:18:142
2.9925,3.5761,4.8218,4.3714,0.9051,8.7317,3.1835,4.2292,-2.044,-0.2338,-1.9856,0.1958,2025,2021-05-19 13:01:18:642
9.4259,5.5528,-0.9514,6.2817,0.934,7.4725,-1.8971,2.6738,-0.0322,1.2118,-1.6071,0.5539,2525,2021-05-19 13:01:19:142
6.9873,2.1132,0.6359,9.3625,2.8917,-0.3894,-0.6217,0.6262,-6.7501,1.514,-2.7369,0.188,3025,2021-05-19 13:01:19:642
0.2883,1.6977,-14.8292,3.2518,0.779,-9.219,-0.2558,-3.8203,0.2825,0.6313,1.1521,-0.288,3525,2021-05-19 13:01:20:142
0.4741,-0.3775,-9.2192,0.2425,2.4427,-9.4945,-1.0234,-2.3589,-1.0784,0.221,-0.2399,1.6488,4026,2021-05-19 13:01:20:643
-0.609,-0.6425,-9.8536,0.2997,2.0074,-9.5943,-0.8626,-2.5866,-0.7706,0.0254,-0.0107,0.0612,4525,2021-05-19 13:01:21:142
-0.6353,-0.6293,-9.7442,-0.1021,0.9538,-9.7596,-0.5257,-1.5606,-0.4543,0.0038,-0.0646,0.0159,5025,2021-05-19 13:01:21:642
-0.6284,-0.5644,-9.8079,-0.4152,0.0655,-9.7976,-0.2069,-0.6332,-0.1663,-0.0067,-0.0023,-0.0516,5525,2021-05-19 13:01:22:142
-0.8366,-0.6347,-9.877,-0.6203,-0.391,-9.7792,-0.0707,-0.2993,-0.248,-0.0231,0.0875,0.044,6025,2021-05-19 13:01:22:642
-3.8118,-1.5957,-10.1853,-0.8706,-0.3484,-9.7617,-1.7323,-0.5458,-0.2653,-0.1509,0.139,1.7024,6525,2021-05-19 13:01:23:142
6.9311,2.9782,-6.6969,6.8114,1.0474,-6.977,-1.0071,-3.611,4.0573,-0.877,-1.3735,-1.1377,7025,2021-05-19 13:01:23:642
9.3374,-0.052,-2.994,8.9766,0.0436,-3.9482,0.4004,0.0718,-0.6189,0.0281,0.1683,0.0893,7526,2021-05-19 13:01:24:143
10.4868,-0.1932,-0.9108,9.7893,0.2197,-0.5405,-0.1946,0.5891,-0.3149,0.0229,0.9224,0.3369,8025,2021-05-19 13:01:24:642
9.5282,0.4923,-2.1362,9.4015,0.4189,-2.7581,0.347,0.0599,-0.4416,-0.0368,0.0797,-0.0861,8525,2021-05-19 13:01:25:142
9.5477,0.2498,-1.1264,9.5571,0.2632,-2.1822,0.3781,-0.4672,-0.4623,-0.0086,0.2891,-0.3279,9026,2021-05-19 13:01:25:643
8.8678,-0.0607,-4.3896,8.7007,-0.0218,-4.5241,0.643,0.2183,1.1543,-0.0365,-0.9192,0.1942,9527,2021-05-19 13:01:26:144
9.1337,-0.1932,-4.3158,8.6815,-0.0577,-4.5605,0.0472,0.1856,0.0514,0.0458,0.0182,0.1041,10026,2021-05-19 13:01:26:643
8.86,-0.0024,-4.2984,8.7552,-0.0674,-4.4174,0.0818,-0.0441,-0.0443,-0.0266,0.0512,-0.0102,10526,2021-05-19 13:01:27:143
8.8334,-0.0667,-4.3896,8.7709,-0.1001,-4.3854,-0.0109,0.0229,-0.064,-0.0118,0.0243,0.004,11026,2021-05-19 13:01:27:643
8.8795,-0.0948,-4.3397,8.7948,-0.0986,-4.3373,0.0245,-0.0089,0.0285,-3.00E-04,0.0058,-0.0038,11525,2021-05-19 13:01:28:142
8.9067,-0.1394,-4.3098,8.8154,-0.1234,-4.2947,0.0443,-0.0642,7.00E-04,-0.0011,0.0116,-0.0147,12025,2021-05-19 13:01:28:642
8.9142,-0.1442,-4.3014,8.8282,-0.1254,-4.2681,0.0136,-0.0082,0.027,2.00E-04,-0.0099,0.0035,12526,2021-05-19 13:01:29:143
8.8926,-0.1208,-4.3128,8.8265,-0.1286,-4.2717,0.013,-0.0213,0.0083,0,-0.002,-0.0052,13026,2021-05-19 13:01:29:643
8.9076,-0.1358,-4.3011,8.8211,-0.1276,-4.2829,0.0054,-0.0144,-0.0013,0,-0.002,-0.0031,13525,2021-05-19 13:01:30:142
8.881,-0.1152,-4.3259,8.8161,-0.1279,-4.293,-0.0095,0.0175,0.0081,2.00E-04,-0.0023,2.00E-04,14026,2021-05-19 13:01:30:643
8.8543,0.0018,-4.2843,8.8257,-0.0926,-4.2741,-0.0624,0.0745,-0.0369,-0.0125,0.0209,-0.0179,14526,2021-05-19 13:01:31:143
8.9013,-0.1277,-4.3247,8.8206,-0.1099,-4.2843,-0.0221,0.0306,-0.0166,-0.0021,0.0043,0.0107,15026,2021-05-19 13:01:31:643
8.9088,-0.1214,-4.2832,8.8286,-0.1175,-4.2676,-0.0152,0.0302,-0.0018,0.0014,-0.0027,0.0037,15525,2021-05-19 13:01:32:142
8.9028,-0.1385,-4.3295,8.8302,-0.1262,-4.264,-0.0064,-0.0072,-0.023,5.00E-04,-0.0017,0.004,16026,2021-05-19 13:01:32:643
8.884,-0.1083,-4.3155,8.8289,-0.1236,-4.2667,-0.0267,0.0101,-0.041,0.0041,0.0046,-0.0053,16526,2021-05-19 13:01:33:143
8.8866,-0.1113,-4.3178,8.831,-0.1239,-4.2624,0.0111,-0.004,-3.00E-04,3.00E-04,0.0018,-0.0023,17026,2021-05-19 13:01:33:643
8.9103,-0.1364,-4.2852,8.8327,-0.1221,-4.259,-0.0021,-0.0106,0.0049,-0.0014,0.0087,-0.0014,17526,2021-05-19 13:01:34:143
8.9163,-0.1439,-4.2933,8.8311,-0.1256,-4.2621,0.0142,-0.0174,0.0046,-8.00E-04,6.00E-04,0.0029,18028,2021-05-19 13:01:34:645
8.9237,-0.1537,-4.2858,8.8324,-0.1252,-4.2595,-0.0175,0.0132,-0.0139,2.00E-04,0.0043,0.0049,18525,2021-05-19 13:01:35:142
8.9061,-0.1241,-4.2888,8.8344,-0.1248,-4.2554,-0.0018,9.00E-04,7.00E-04,2.00E-04,0.0023,-2.00E-04,19026,2021-05-19 13:01:35:643
8.9061,-0.1265,-4.2781,8.8348,-0.1261,-4.2545,-0.0162,0.0062,-0.0111,-2.00E-04,0.0064,6.00E-04,19526,2021-05-19 13:01:36:143
8.9034,-0.1247,-4.2852,8.8362,-0.1276,-4.2516,2.00E-04,0.0012,0.003,-3.00E-04,0.0017,5.00E-04,20026,2021-05-19 13:01:36:643
8.9136,-0.1289,-4.2817,8.8366,-0.1267,-4.2506,-0.0013,-0.0044,-0.0103,-3.00E-04,0.0021,-0.0012,20526,2021-05-19 13:01:37:143
8.9046,-0.1223,-4.2897,8.8376,-0.1256,-4.2487,-0.001,-0.0077,0.0104,-6.00E-04,-0.0026,-0.004,21026,2021-05-19 13:01:37:643
8.8872,-0.0981,-4.2981,8.8346,-0.1231,-4.2549,0.0016,-0.0057,0.0136,0.0026,-0.0057,-0.0089,21526,2021-05-19 13:01:38:143
8.8923,-0.0852,-4.2721,8.8399,-0.1213,-4.244,-0.0324,0.0411,-0.0038,-0.0049,0.002,-0.0096,22025,2021-05-19 13:01:38:642
8.9019,-0.1181,-4.2778,8.8373,-0.12,-4.2495,0.0257,-0.0114,0.0158,-0.0034,-0.0087,0.0027,22525,2021-05-19 13:01:39:142
8.8481,-0.0694,-4.3403,8.8438,-0.1255,-4.2359,0.0327,0.0867,0.2762,0.0177,-0.1046,0.0134,23031,2021-05-19 13:01:39:648
8.884,-0.1747,-4.3271,8.8209,-0.1652,-4.282,1.00E-04,-0.0058,-0.0111,0.0046,-0.0163,0.011,23525,2021-05-19 13:01:40:142
8.9019,-0.2076,-4.3125,8.8205,-0.1748,-4.2823,0.0034,-0.0192,-0.0223,8.00E-04,-0.0031,0.0098,24026,2021-05-19 13:01:40:643
8.8834,-0.1759,-4.3385,8.8209,-0.1815,-4.2812,-0.0166,0.001,-0.0073,3.00E-04,0.0064,-0.0021,24526,2021-05-19 13:01:41:143
8.9261,-0.1741,-4.2568,8.8485,-0.1642,-4.2247,-0.0406,0.0604,-0.0051,0.0029,-0.0055,0.0124,25031,2021-05-19 13:01:41:648
8.9201,-0.2168,-4.3056,8.8432,-0.1781,-4.2351,0.0163,-0.0101,0.0238,-0.0021,8.00E-04,-0.0057,25526,2021-05-19 13:01:42:143
8.9163,-0.1831,-4.2616,8.8423,-0.1794,-4.237,0.0093,-0.0104,-0.0086,0.0021,-9.00E-04,0.0012,26027,2021-05-19 13:01:42:644
8.9082,-0.1992,-4.305,8.8482,-0.1822,-4.2246,-0.0024,-0.0044,-0.009,-0.0037,0.0108,3.00E-04,26526,2021-05-19 13:01:43:143
8.8944,-0.1501,-4.2721,8.8461,-0.1732,-4.2293,-0.0342,0.0447,-0.0068,2.00E-04,-0.0096,-0.0014,27027,2021-05-19 13:01:43:644
8.9121,-0.1977,-4.2796,8.8455,-0.1822,-4.2303,-0.0199,0.0044,-0.016,8.00E-04,0.0115,0.0034,27525,2021-05-19 13:01:44:142
8.9139,-0.1932,-4.2613,8.8439,-0.1864,-4.2334,0.0047,-0.0041,0.0156,-0.0021,-6.00E-04,0,28025,2021-05-19 13:01:44:642
8.9216,-0.2028,-4.2667,8.8421,-0.1824,-4.2372,-0.0248,0.0237,-0.0292,-2.00E-04,0.0032,0.0061,28525,2021-05-19 13:01:45:142
8.9031,-0.2055,-4.2996,8.8415,-0.1884,-4.2384,-0.0062,-0.0204,-0.0398,0.0044,0.0031,3.00E-04,29026,2021-05-19 13:01:45:643
