ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.9261,-1.2629,10.8242,2.0881,0.7874,9.5494,-0.162,-2.0503,1.2748,-0.1886,-2.464,-0.2422,30,2021-08-07 02:32:55:526
10.7907,-3.3136,3.1316,8.3798,-3.842,3.3449,2.4109,0.5284,-0.2133,0.8163,-1.9038,2.4279,530,2021-08-07 02:32:56:026
5.0422,-5.2265,-5.2062,8.698,-4.4135,1.018,-3.6558,-0.8131,-6.2242,0.9201,-0.6943,0.0089,1030,2021-08-07 02:32:56:526
5.1499,-9.238,0.2801,5.4067,-8.1641,0.5345,-0.2568,-1.0739,-0.2544,-0.1587,-0.2313,0.6545,1529,2021-08-07 02:32:57:025
1.8387,-9.0836,0.0204,2.1633,-9.5601,0.3085,-0.194,0.1892,-0.2342,-0.0719,0.2025,-0.0351,2030,2021-08-07 02:32:57:526
0.2191,-9.9874,0.255,0.6453,-9.7739,0.4744,0.2911,0.088,0.0547,-0.2405,0.773,0.0437,2530,2021-08-07 02:32:58:026
2.0578,-8.8873,-1.1061,1.3882,-9.5178,-1.912,1.1989,-0.0884,-1.1774,-0.0438,0.6325,0.1426,3030,2021-08-07 02:32:58:526
-0.1401,-9.7312,-1.4497,-0.068,-9.6713,-1.6223,-0.1175,-0.0348,0.2791,0.1895,-0.4212,0.4004,3530,2021-08-07 02:32:59:026
-0.8236,-9.7552,-0.9744,-0.7893,-9.686,-1.3148,-0.0235,-0.0368,0.2159,0.0417,-0.4695,0.0382,4029,2021-08-07 02:32:59:525
-0.8942,-9.7636,-1.1325,-0.8633,-9.6908,-1.2299,-0.0405,-0.0763,-0.0032,-0.0115,0.0815,-0.0082,4530,2021-08-07 02:33:00:026
-0.8152,-9.8174,-1.4437,-0.7887,-9.6918,-1.2717,-0.0313,-0.1196,-0.1923,-0.0164,-0.0113,0.0125,5029,2021-08-07 02:33:00:525
-0.8356,-9.7659,-1.2953,-0.8261,-9.6822,-1.3204,-0.0095,-0.1484,-0.0203,-0.006,0.0088,-0.0082,5530,2021-08-07 02:33:01:026
-0.7554,-9.7743,-1.4305,-0.7242,-9.6818,-1.3818,-0.0097,-0.1189,-0.0236,-0.006,0.0094,-0.0107,6030,2021-08-07 02:33:01:526
-0.7757,-9.7636,-1.3515,-0.7756,-9.6833,-1.3423,-0.0049,-0.0874,0.0338,0.0105,-0.0394,0.0125,6529,2021-08-07 02:33:02:025
-0.7673,-9.7791,-1.3396,-0.7638,-9.6839,-1.3452,0.0036,-0.094,-0.0099,-0.0035,0.0198,-0.004,7030,2021-08-07 02:33:02:526
-0.7805,-9.7935,-1.403,-0.773,-9.6809,-1.361,-0.0118,-0.1257,-0.0698,0.0178,-0.0924,0.023,7529,2021-08-07 02:33:03:025
-0.8224,-9.7803,-1.3599,-0.8031,-9.685,-1.3139,-0.0099,-0.0997,0.0121,0.0038,-0.016,0.0108,8031,2021-08-07 02:33:03:527
-0.9349,-9.7624,-1.2989,-0.9263,-9.6751,-1.306,-0.0033,-0.075,0.057,-0.0103,0.0634,0.0212,8530,2021-08-07 02:33:04:026
-0.9864,-9.7516,-1.2929,-0.9794,-9.6708,-1.299,-0.0133,-0.09,0.0747,-0.0048,0.0561,-0.0038,9030,2021-08-07 02:33:04:526
-0.99,-9.6953,-1.1325,-1.0249,-9.6666,-1.2949,-2.00E-04,-0.0882,0.031,-0.0023,0.0231,-0.002,9529,2021-08-07 02:33:05:025
-0.9409,-9.7863,-1.4557,-0.9275,-9.6678,-1.3576,-0.0032,-0.0841,-0.0435,-0.0066,0.0854,-0.0289,10029,2021-08-07 02:33:05:525
-0.9325,-9.7552,-1.2905,-0.9219,-9.6745,-1.3133,-0.0084,-0.0923,-0.0829,-0.0121,0.0365,-2.00E-04,10530,2021-08-07 02:33:06:026
-0.9409,-9.7755,-1.4042,-0.9294,-9.6686,-1.3511,-0.0038,-0.1067,0.0237,-0.0103,-0.0148,0.0078,11029,2021-08-07 02:33:06:525
-0.9002,-9.7671,-1.3396,-0.8794,-9.6675,-1.3914,-0.0038,-0.109,0.0706,-0.0145,0.0921,-0.0295,11529,2021-08-07 02:33:07:025
-0.8104,-9.7695,-1.5419,-0.8033,-9.6593,-1.491,5.00E-04,-0.1118,-0.0187,-0.0103,0.0622,0.0145,12030,2021-08-07 02:33:07:526
-0.8739,-9.7312,-1.4473,-0.8759,-9.6507,-1.5057,-0.0035,-0.061,0.1213,0.0184,-0.1522,0.0292,12529,2021-08-07 02:33:08:025
-0.8607,-9.7336,-1.5263,-0.8461,-9.651,-1.5208,-0.0139,-0.0979,-0.0193,-0.0145,0.0561,0.0035,13029,2021-08-07 02:33:08:525
-0.8811,-9.7456,-1.5598,-0.8755,-9.6509,-1.5048,-0.0076,-0.0943,-0.0564,7.00E-04,-7.00E-04,0.0065,13529,2021-08-07 02:33:09:025
-0.8942,-9.7121,-1.5143,-0.8777,-9.6501,-1.5087,-0.0109,-0.0626,-0.0053,-0.0042,0.0103,-0.0191,14029,2021-08-07 02:33:09:525
-0.8344,-9.754,-1.5562,-0.837,-9.6507,-1.5276,1.00E-04,-0.1036,-0.025,0.0062,-0.0386,0.0035,14530,2021-08-07 02:33:10:026
