ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.6543,-1.7183,10.314,-0.9243,0.0837,9.7626,-1.265,-0.5804,-2.3475,1.6047,-3.0565,0.0794,16,2021-05-19 17:34:25:292
2.9031,-3.88,0.291,9.6904,-1.3627,-0.6395,-3.6426,-0.2799,2.269,1.2976,-6.0865,2.2406,516,2021-05-19 17:34:25:792
-0.3218,-6.8955,-0.7074,6.9068,-6.5984,-2.2199,-0.2951,-0.3503,5.6959,1.4535,-1.4587,0.0589,1016,2021-05-19 17:34:26:292
5.8502,-10.3286,0.2695,5.3605,-8.1593,-0.9279,0.9364,-0.6541,0.1581,1.1988,-1.86,-0.6754,1516,2021-05-19 17:34:26:792
4.5742,-10.4818,-3.6832,4.1918,-8.0531,-3.7077,1.157,-5.9874,0.3035,-2.1538,-1.5172,0.7584,2016,2021-05-19 17:34:27:292
5.2493,2.6689,0.4131,3.3779,-8.6092,-3.262,-0.0873,6.6305,0.7098,0.8318,1.0534,-0.077,2517,2021-05-19 17:34:27:793
8.546,-6.4932,-3.6473,2.9769,-9.0386,-2.369,1.2944,2.8952,-1.3292,-0.2359,0.3212,0.1968,3016,2021-05-19 17:34:28:292
5.4646,-9.7947,-1.902,1.8983,-8.8636,-3.7421,-1.163,3.4304,-0.3553,0.7226,0.2721,0.2726,3517,2021-05-19 17:34:28:793
0.2599,-8.0638,-1.3848,3.0043,-9.1269,-1.9609,-1.3763,1.9535,-0.5796,0.7119,0.243,0.0064,4017,2021-05-19 17:34:29:293
-1.028,-5.6148,-4.3343,1.7068,-9.0816,-3.2836,0,0,0,0.3369,-0.969,0.0686,4516,2021-05-19 17:34:29:792
16.911,-14.9683,-13.9442,2.1701,-9.0904,-2.9709,1.4019,-4.7732,8.7807,-1.2025,-0.3428,0.0644,5017,2021-05-19 17:34:30:293
0.9422,-18.6434,-5.426,2.0761,-8.1923,-4.9745,0.8177,-4.8431,-3.3325,-1.7634,0.2944,0.4861,5516,2021-05-19 17:34:30:792
-3.8506,-9.3637,-1.4279,2.1797,-9.1663,-2.72,1.1289,-1.8112,-6.4104,0.1593,1.5525,-0.1745,6016,2021-05-19 17:34:31:292
2.374,-9.2824,-0.8031,2.7238,-9.4208,-0.0128,1.0261,0.239,-0.2196,0.3751,1.216,0.0834,6516,2021-05-19 17:34:31:792
0.4513,-6.4023,-0.9395,2.6329,-8.2983,-4.5139,0.6402,-1.796,2.9394,-0.9557,-1.0233,-0.133,7016,2021-05-19 17:34:32:292
