ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.9433,5.0015,8.5042,-1.1791,4.8282,8.4539,-0.0982,0.3029,-0.3769,0.0037,0.0226,-0.1863,26,2021-05-14 13:40:01:922
1.5419,-7.6231,5.0613,-6.25,2.8407,7.0027,7.559,-8.1309,-2.6656,-3.6145,-1.7324,-2.8326,525,2021-05-14 13:40:02:421
-3.6392,-3.8355,7.0725,-6.3912,-7.3865,0.8737,3.0373,2.901,-1.6676,-1.2333,-0.7098,3.4618,1026,2021-05-14 13:40:02:922
-0.6991,-5.3534,-3.6727,-5.041,-8.2546,1.6187,5.1483,7.8042,-3.9592,-1.1771,0.2279,-2.5638,1526,2021-05-14 13:40:03:422
-3.1699,-9.1889,-0.6776,-1.4721,-9.6838,0.4775,-1.2821,0.1301,-1.14,-0.0929,0.193,-0.1289,2027,2021-05-14 13:40:03:923
-3.0454,-8.4851,-0.0215,-2.2615,-9.4916,0.9823,-3.1818,0.8169,-1.7281,0.4746,0.4545,0.1759,2528,2021-05-14 13:40:04:424
-3.5243,-13.7164,2.5738,-2.8658,-9.3532,0.6895,1.9823,1.4607,-0.9172,0.0617,0.441,-0.3018,3029,2021-05-14 13:40:04:925
-1.8028,-9.3685,0.0048,-1.9586,-9.6087,-0.0815,-0.6938,0.6216,0.3229,0.0654,0.0501,0.1008,3526,2021-05-14 13:40:05:422
-0.5387,-9.9024,-0.5962,-1.4218,-9.6749,-0.739,-0.6371,-0.0239,-0.105,0.0409,0.0128,-0.0446,4026,2021-05-14 13:40:05:922
-1.9513,-9.2201,-0.1269,-2.0351,-9.5895,-0.2655,0.1497,0.3567,0.0794,0.1038,0.1173,0.0751,4526,2021-05-14 13:40:06:422
-1.3958,-10.4842,-1.245,-2.2059,-9.549,-0.3469,0.513,-0.8505,-0.5681,-0.0898,0.1167,-0.0586,5026,2021-05-14 13:40:06:922
-0.0862,-34.3089,14.5113,-4.6347,-8.4378,1.8691,-4.1331,-66.5234,-16.9694,0.1045,9.4012,7.2345,5526,2021-05-14 13:40:07:422
-20.7266,-13.4626,-2.0566,-0.5702,-9.3626,-2.8612,-21.8424,-56.8401,-17.1925,0.2957,1.7226,3.9047,6026,2021-05-14 13:40:07:922
1.6161,0.7997,-3.5027,-0.3034,-9.567,-2.1333,-16.8675,11.5968,16.8662,-2.1325,-1.2309,-1.3922,6526,2021-05-14 13:40:08:422
17.99,0.723,-3.8547,-2.487,-9.2732,-1.9983,21.2863,9.8039,-2.1686,-0.4337,0.3244,-1.3555,7026,2021-05-14 13:40:08:922
5.6336,-3.3447,-9.9455,-2.6363,-8.8034,-3.4234,7.6547,5.7683,-6.9392,-0.6811,-0.2743,3.9957,7526,2021-05-14 13:40:09:422
24.2341,-0.2442,-4.6639,1.2268,-9.0018,-3.6924,-46.1559,2.9949,28.5529,0.4246,-1.2034,4.9724,8026,2021-05-14 13:40:09:922
-9.1698,-30.3681,-6.8091,2.3617,-8.6065,-4.0645,-51.4045,-35.9831,21.9803,1.3891,-8.4238,0.7837,8526,2021-05-14 13:40:10:422
7.6998,-35.9418,-2.7438,5.6491,-6.8765,-4.1197,-24.9894,2.2748,34.9044,-2.854,4.5516,-0.1161,9026,2021-05-14 13:40:10:922
-0.3232,-0.5531,5.3079,2.2087,-8.8248,-3.6626,-6.8263,5.4629,10.0307,0.6884,2.3983,-0.8192,9526,2021-05-14 13:40:11:422
7.1874,-3.3208,-11.5927,-0.786,-9.7461,-0.7518,23.7185,-5.1316,15.0403,0.0623,-3.072,4.8234,10026,2021-05-14 13:40:11:922
-0.8475,-2.3631,6.019,1.7412,-8.9763,-3.5447,7.6346,10.3547,9.9241,0.3115,0.8351,-0.81,10526,2021-05-14 13:40:12:422
