ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
6.649,9.323,-0.766,5.723,7.963,-0.081,-0.186,0.781,1.708,-0.963,-1.25,-0.409,22,2021-05-18 18:15:53:301
5.018,8.878,-0.804,6.558,7.28,-0.41,-1.328,1.402,-0.674,-0.166,-1.349,0.866,521,2021-05-18 18:15:53:800
7.204,5.811,-3.086,7.841,5.331,-2.503,-0.669,0.664,-0.313,0.856,-0.872,0.882,1022,2021-05-18 18:15:54:301
9.567,4.444,-6.024,8.223,3.252,-4.24,2.216,2.354,-0.06,-0.173,-0.217,0.448,1522,2021-05-18 18:15:54:801
10.29,5.035,-3.704,8.546,4.106,-2.504,1.744,0.929,-1.2,-0.357,-0.199,-0.026,2022,2021-05-18 18:15:55:301
6.749,6.263,-3.508,7.559,5.855,-2.181,-0.622,-0.022,0.034,-0.255,1.115,-0.114,2521,2021-05-18 18:15:55:800
4.616,2.983,5.895,5.636,3.163,7.376,-1.84,-1.036,-0.297,-4.029,5.085,0.895,3024,2021-05-18 18:15:56:303
-1.707,12.158,4.915,0.491,9.123,3.563,4.466,6.316,-9.834,1.668,1.013,1.895,3521,2021-05-18 18:15:56:800
2.914,7.089,-2.758,1.714,8.919,-3.7,1.922,-1.053,-0.157,2.257,0.124,-0.965,4022,2021-05-18 18:15:57:301
2.346,11.787,-3.227,1.575,9.564,-1.491,0.774,2.958,2.312,-1.715,1.345,0.123,4522,2021-05-18 18:15:57:801
9.996,15.718,3.275,3.291,9.087,-1.664,2.29,4.796,1.439,0.93,-0.189,1.2,5021,2021-05-18 18:15:58:300
5.428,7.317,1.915,4.902,7.881,3.167,0.772,2.928,0.362,-2.047,0.402,-0.62,5522,2021-05-18 18:15:58:801
15.376,10.029,6.888,4.249,7.068,5.307,11.127,2.961,1.581,1.77,-2.62,0.895,6022,2021-05-18 18:15:59:301
2.248,7.503,2.631,-3.186,9.275,-0.042,5.434,-1.771,2.673,1.057,1.134,-0.404,6522,2021-05-18 18:15:59:801
1.032,22.154,-5.452,2.992,8.403,-4.074,0.031,4.542,-3.827,1.173,0.969,1.564,7022,2021-05-18 18:16:00:301
2.018,9.694,0.239,0.725,9.203,-3.309,0.624,2.298,1.208,-0.658,-2.621,0.961,7522,2021-05-18 18:16:00:801
0.529,6.314,-7.774,2.087,8.047,-5.202,-2.335,-1.176,-2.129,1.076,0.513,2.157,8022,2021-05-18 18:16:01:301
7.293,-2.732,-6.953,7.633,2.479,-5.635,-0.46,-5.175,-1.389,-0.22,3.065,0.923,8522,2021-05-18 18:16:01:801
6.328,-6.321,-8.332,8.968,-3.237,-2.293,-6.973,-4.883,-3.142,-3.724,-3.048,-0.3,9022,2021-05-18 18:16:02:301
7.626,3.563,-10.376,3.563,1.043,-9.077,4.13,2.59,-1.266,0.169,-0.116,-1.151,9521,2021-05-18 18:16:02:800
9.031,1.894,-2.456,7.875,2.697,-5.184,-0.29,0.13,0.031,1.983,3.556,2.336,10073,2021-05-18 18:16:03:352
5.942,-0.723,-7.305,4.303,1.791,-8.628,3.513,-2.822,1.788,-1.135,-1.585,-0.539,10523,2021-05-18 18:16:03:802
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11021,2021-05-18 18:16:04:300
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11022,2021-05-18 18:16:04:301
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11022,2021-05-18 18:16:04:301
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11023,2021-05-18 18:16:04:302
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11023,2021-05-18 18:16:04:302
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11023,2021-05-18 18:16:04:302
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11023,2021-05-18 18:16:04:302
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11023,2021-05-18 18:16:04:302
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11023,2021-05-18 18:16:04:302
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11024,2021-05-18 18:16:04:303
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11024,2021-05-18 18:16:04:303
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11024,2021-05-18 18:16:04:303
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11024,2021-05-18 18:16:04:303
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11025,2021-05-18 18:16:04:304
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11025,2021-05-18 18:16:04:304
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11025,2021-05-18 18:16:04:304
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11026,2021-05-18 18:16:04:305
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11026,2021-05-18 18:16:04:305
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11026,2021-05-18 18:16:04:305
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11026,2021-05-18 18:16:04:305
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11026,2021-05-18 18:16:04:305
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11027,2021-05-18 18:16:04:306
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11027,2021-05-18 18:16:04:306
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11027,2021-05-18 18:16:04:306
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11027,2021-05-18 18:16:04:306
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11027,2021-05-18 18:16:04:306
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11028,2021-05-18 18:16:04:307
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11028,2021-05-18 18:16:04:307
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11028,2021-05-18 18:16:04:307
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11028,2021-05-18 18:16:04:307
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11028,2021-05-18 18:16:04:307
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11029,2021-05-18 18:16:04:308
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11029,2021-05-18 18:16:04:308
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11029,2021-05-18 18:16:04:308
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11029,2021-05-18 18:16:04:308
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11029,2021-05-18 18:16:04:308
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11030,2021-05-18 18:16:04:309
1.199,3.919,-8.246,2.9,2.657,-8.983,-0.451,3.954,1.396,0.265,0.26,0.524,11030,2021-05-18 18:16:04:309
2.222,6.771,-8.487,2.708,3.001,-8.935,-0.07,2.18,0.545,-0.47,-0.489,-0.225,11094,2021-05-18 18:16:04:373
0.158,7.013,-6.541,-0.771,6.637,-7.178,0.494,0.499,0.836,-0.472,-0.357,-1.594,11593,2021-05-18 18:16:04:872
-5.054,6.105,-6.179,-3.657,6.122,-6.732,-1.197,0.1,0.726,-0.218,0.949,1.496,12210,2021-05-18 18:16:05:489
-5.054,6.105,-6.179,-3.657,6.122,-6.732,-1.197,0.1,0.726,-0.218,0.949,1.496,12212,2021-05-18 18:16:05:491
-5.054,6.105,-6.179,-3.657,6.122,-6.732,-1.197,0.1,0.726,-0.218,0.949,1.496,12212,2021-05-18 18:16:05:491
-5.054,6.105,-7.235,-3.657,6.898,-6.732,-3.321,-1.926,-0.671,-0.205,1.233,2.569,12213,2021-05-18 18:16:05:492
-5.665,4.973,-7.235,-2.343,6.898,-6.565,-3.321,-1.926,-0.671,-0.205,1.233,2.569,12213,2021-05-18 18:16:05:492
-5.665,4.973,-7.235,-2.343,6.898,-6.565,-3.321,-1.926,-0.671,-0.205,1.233,2.569,12215,2021-05-18 18:16:05:494
-5.665,4.973,-7.235,-2.343,6.898,-6.565,-3.321,-1.926,-0.671,-0.205,1.233,2.569,12216,2021-05-18 18:16:05:495
-5.665,4.973,-7.235,-2.343,6.898,-6.565,-3.321,-1.926,-0.671,-0.205,1.233,2.569,12216,2021-05-18 18:16:05:495
