ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.8747,0.0407,9.517,-1.8832,0.0461,9.624,0.0086,-0.0054,-0.1071,-0.0087,-0.0019,0.0051,25,2021-08-07 01:47:50:111
-1.8794,-0.0036,9.584,-1.9618,-0.078,9.6081,0.0824,0.0745,-0.0241,0.0756,0.2968,0.0485,524,2021-08-07 01:47:50:610
-2.0255,-0.0204,9.6067,-1.9825,-0.0658,9.604,-0.043,0.0455,0.0028,0.0035,-0.0349,-0.0303,1024,2021-08-07 01:47:51:110
-1.9297,0.3723,9.4547,-2.1536,0.1601,9.5659,0.2239,0.2122,-0.1112,0.0621,-0.0172,-0.0101,1524,2021-08-07 01:47:51:610
-2.2601,0.9876,9.3099,-2.2984,0.5729,9.5163,0.0382,0.4147,-0.2064,0.1513,0.0036,0.0033,2025,2021-08-07 01:47:52:111
-2.1919,0.4465,9.5301,-2.396,0.6291,9.4886,0.2041,-0.1825,0.0415,-0.0991,-0.0746,0.0357,2524,2021-08-07 01:47:52:610
-3.128,0.5866,9.7085,-2.778,0.6228,9.3843,-0.35,-0.0362,0.3242,0.1379,0.0781,0.6563,3025,2021-08-07 01:47:53:111
-3.6069,0.1772,8.8897,-2.8482,0.9099,9.3397,-0.7587,-0.7328,-0.45,-0.8896,1.0109,0.101,3524,2021-08-07 01:47:53:610
-2.4445,0.34,9.6127,-2.0834,0.5197,9.5687,-0.3611,-0.1797,0.044,0.0072,-0.2578,-0.1256,4024,2021-08-07 01:47:54:110
-1.2354,0.164,9.6941,-1.386,0.3814,9.7007,0.1506,-0.2174,-0.0066,4.00E-04,-0.1473,-0.117,4524,2021-08-07 01:47:54:610
-1.0558,0.1329,9.7396,-1.2593,0.2385,9.7225,0.2035,-0.1056,0.0171,-0.1376,0.1099,-0.0682,5025,2021-08-07 01:47:55:111
-1.5131,0.2753,9.5732,-1.6421,0.2258,9.6656,0.129,0.0496,-0.0923,0.0096,-0.0074,-0.0266,5525,2021-08-07 01:47:55:611
-1.6999,0.1915,9.5888,-1.7,0.2658,9.6545,1.00E-04,-0.0743,-0.0657,0.0261,-0.0147,-0.0046,6024,2021-08-07 01:47:56:110
-1.6185,0.2801,9.6103,-1.6383,0.2904,9.6645,0.0199,-0.0103,-0.0541,0.0053,-0.0025,-0.0022,6524,2021-08-07 01:47:56:610
-1.828,0.492,9.7169,-1.6368,0.3733,9.6619,-0.1912,0.1187,0.055,0.0328,-0.1064,0.021,7024,2021-08-07 01:47:57:110
-1.4916,0.431,9.6199,-1.5728,0.3349,9.6739,0.0812,0.096,-0.054,-0.0093,0.0103,-0.0389,7524,2021-08-07 01:47:57:610
