ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.5562,0.7095,6.0849,0.2632,0.4997,9.7904,0.0788,-1.0523,0.5871,1.2247,-2.448,0.9781,12,2021-05-19 17:28:59:397
7.2769,-0.5246,-2.1652,9.2784,3.1178,0.6004,-1.3063,-1.2008,2.958,1.3857,-4.399,0.9725,511,2021-05-19 17:28:59:896
8.8786,-4.2739,1.4952,8.8093,-4.2702,-0.5764,3.3303,4.0529,0.0298,0.5073,-1.3277,-0.1839,1012,2021-05-19 17:29:00:397
9.6329,-4.5326,0.533,6.9259,-6.9189,0.5749,2.4547,5.1524,0.156,0.534,1.9811,0.5398,1511,2021-05-19 17:29:00:896
1.512,-6.3473,-4.3678,5.0671,-6.1685,-5.696,0.2461,-0.912,2.312,-0.0038,-1.822,-0.8392,2012,2021-05-19 17:29:01:397
7.0663,-9.1627,-0.8892,5.397,-7.6331,-2.9628,0.9133,-1.2271,-1.2069,1.1502,-0.412,0.5322,2514,2021-05-19 17:29:01:899
1.9525,-6.9864,-0.3434,2.2478,-9.5328,0.4928,-0.7231,0.0063,-0.1949,0.3537,0.6302,-0.0092,3013,2021-05-19 17:29:02:398
-0.5997,-6.2587,-2.1389,1.9918,-8.2045,-4.9889,-2.4946,1.231,4.896,-1.1699,-1.446,-0.2428,3512,2021-05-19 17:29:02:897
3.6715,-9.3111,-1.8661,2.5808,-9.3782,-1.2484,4.3217,-2.2194,-2.1566,0.4887,0.8071,-0.5041,4013,2021-05-19 17:29:03:398
4.2628,-12.1313,-1.9116,3.1673,-8.6424,-3.3834,1.1556,-3.3183,2.0419,-2.6242,0.1147,-0.2439,4512,2021-05-19 17:29:03:897
-3.3505,-11.9327,-9.7594,1.4627,-7.4308,-6.2301,-4.7833,-2.4568,-1.1054,1.4833,0.4647,0.0049,5012,2021-05-19 17:29:04:397
4.4399,-14.377,0.9135,3.0017,-9.3313,-0.2959,1.2601,2.356,-1.6194,0.5853,0.2737,-0.0469,5512,2021-05-19 17:29:04:897
-0.0993,-5.3776,-2.7829,2.1509,-9.232,-2.5127,-3.1097,1.0233,0.4563,-2.3081,-1.8606,-0.7019,6012,2021-05-19 17:29:05:397
1.0235,-4.4127,-6.4149,1.5646,-8.0814,-5.3304,0.8265,1.4722,-1.4097,-0.83,-0.8512,0.3057,6513,2021-05-19 17:29:05:898
1.0235,-4.4127,-6.4149,1.5646,-8.0814,-5.3304,0.8265,1.4722,-1.4097,-0.83,-0.8512,0.3057,6514,2021-05-19 17:29:05:899
1.0235,-4.4127,-6.4149,1.5646,-8.0814,-5.3304,0.8265,1.4722,-1.4097,-0.83,-0.8512,0.3057,6515,2021-05-19 17:29:05:900
2.8167,-9.0431,-1.5165,2.3548,-9.4212,-1.3663,0,0,0,1.1621,1.0737,0.2986,6831,2021-05-19 17:29:06:216
4.567,-13.0508,0.6455,4.028,-8.8662,-1.1562,0.2772,-2.3586,2.0327,-1.0672,-2.0465,-0.0942,7331,2021-05-19 17:29:06:716
-1.459,-12.7705,-8.9931,2.4542,-9.315,-1.8381,-0.9255,3.384,-1.9254,1.3428,-0.6759,-0.7226,7831,2021-05-19 17:29:07:216
3.7193,-9.1819,-0.6906,2.5938,-9.4243,0.7905,0.1328,0.2787,-2.3546,0.5624,-0.2915,-0.1567,8331,2021-05-19 17:29:07:716
2.0315,-7.5921,0.7101,3.1932,-8.1425,-4.4356,-1.0482,0.8586,5.2039,-0.2767,-3.2427,-1.2151,8831,2021-05-19 17:29:08:216
5.4742,-9.3733,-2.0192,2.5316,-9.2072,-2.2336,5.1647,-4.3538,-1.3746,1.9914,-0.4128,-0.0385,9439,2021-05-19 17:29:08:824
